id|employee_id|date|time_in|time_out|break_minutes|work_hours|overtime_hours|status|notes|am_break_out|am_break_in|lunch_break_out|lunch_break_in|pm_break_out|pm_break_in|time_in_lat|time_in_lng|time_out_lat|time_out_lng|approval_status|shift_start|shift_end
ATT001|EMP001|2025-06-02|08:02|17:05|60|8.05|0.05|present||||||||||||approved||
ATT002|EMP002|2025-06-02|08:00|17:00|60|8.00|0.00|present||||||||||||approved||
ATT003|EMP003|2025-06-02|07:55|19:30|60|10.58|2.58|present||||||||||||approved||
ATT004|EMP004|2025-06-02|09:10|17:00|60|7.83|0.00|late||||||||||||approved||
ATT005|EMP005|2025-06-02|||0|0|0|absent||||||||||||approved||
ATT006|EMP001|2025-06-03|08:00|17:00|60|8.00|0.00|present||||||||||||approved||
ATT007|EMP002|2025-06-03|||0|0|0|absent|sick leave|||||||||||approved||
ATT008|EMP003|2025-06-03|07:50|18:00|60|9.17|1.17|present||||||||||||approved||
ATT009|EMP004|2025-06-03|08:05|17:00|60|7.92|0.00|present||||||||||||approved||
ATT010|EMP005|2025-06-03|08:00|17:00|60|8.00|0.00|present||||||||||||approved||
ATT011|EMP001|2026-06-14|08:00|17:00|60|8.00|0|present||||||||||||approved||
ATT012|EMP001|2026-06-14|08:00|17:00|60|8.00|0|present||||||||||||approved||
ATT013|EMP001|2026-06-16|19:41||60|0|0|late|Late by 701 min|||||||||||approved||
ATT015|EMP002|2026-07-25|08:54|12:11|60|2.28|0|present|Late by 54 min|||||||||||approved||
ATT016|EMP004|2026-07-25|10:36|10:37|60|0.00|0.00|present||||||||||||approved||
ATT017|EMP001|2026-07-25|06:18|17:57|60|10.65|0|present||||||||||||rejected||
ATT019|EMP002|2026-07-27|08:58||60|0|0|present||||||||||||approved||
ATT021|EMP002|2026-07-30|06:04||0|0|0|present|No schedule assigned — auto-matched to Split Shift|||||||||||approved||
ATT022|EMP007|2026-07-30|06:23||0|0|0|present|No schedule assigned — auto-matched to Split Shift|||||||||||approved||
ATT025|EMP007|2026-07-31|06:46||0|0|0|present|No schedule assigned — auto-matched to Split Shift|||||||14.711827|121.012614|||approved||
ATT026|EMP001|2026-07-31|07:00|17:34|60|8.00|0|present|No schedule assigned — auto-matched to Day Shift|||||||14.702703|121.007336|14.702703|121.007336|approved|08:00|17:00
