id|employee_id|period_start|period_end|days_worked|regular_hours|overtime_hours|basic_pay|overtime_pay|allowance|gross_pay|sss|philhealth|pagibig|tax|total_deductions|net_pay|status|generated_date
PAY001|EMP001|2025-05-01|2025-05-15|13|104|2.50|8450.00|406.25|500.00|9356.25|200.00|150.00|100.00|935.00|1385.00|7971.25|released|2025-05-17
PAY002|EMP002|2025-05-01|2025-05-15|12|96|0|6600.00|0.00|0.00|6600.00|150.00|100.00|100.00|660.00|1010.00|5590.00|released|2025-05-17
PAY003|EMP003|2025-05-01|2025-05-15|13|104|15.20|11050.00|2413.33|1000.00|14463.33|250.00|175.00|100.00|1446.00|1971.00|12492.33|released|2025-05-17
PAY004|EMP004|2025-05-01|2025-05-15|13|104|0|12350.00|0.00|500.00|12850.00|300.00|200.00|100.00|1285.00|1885.00|10965.00|released|2025-05-17
PAY005|EMP005|2025-05-01|2025-05-15|11|88|0|6050.00|0.00|0.00|6050.00|150.00|100.00|100.00|605.00|955.00|5095.00|released|2025-05-17
PAY006|EMP001|2025-05-01|2025-06-15|2|16.00|0.05|1300.00|5.08|0.00|1305.08|200.00|150.00|100.00|130.51|580.51|724.57|draft|2026-06-14
PAY006|EMP002|2025-05-01|2025-06-15|1|8.00|0.00|550.00|0.00|0.00|550.00|150.00|100.00|100.00|55.00|405.00|145.00|draft|2026-06-14
PAY006|EMP003|2025-05-01|2025-06-15|2|16.00|3.75|1700.00|498.05|0.00|2198.05|250.00|175.00|100.00|219.80|744.80|1453.24|draft|2026-06-14
PAY006|EMP004|2025-05-01|2025-06-15|2|15.75|0.00|1900.00|0.00|0.00|1900.00|300.00|200.00|100.00|190.00|790.00|1110.00|draft|2026-06-14
PAY006|EMP005|2025-05-01|2025-06-15|1|8.00|0.00|550.00|0.00|0.00|550.00|150.00|100.00|100.00|55.00|405.00|145.00|draft|2026-06-14
