id|employee_id|shift_id|effective_date|end_date|work_days|notes|created_by|am_break_enabled|am_break_start|am_break_end|lunch_break_enabled|lunch_break_start|lunch_break_end|pm_break_enabled|pm_break_start|pm_break_end|am_break_paid|lunch_break_paid|pm_break_paid|work_assignment
SCH008|EMP002|SH001|2027-01-01||Mon,Tue,Wed,Thu,Fri|Regular weekday schedule|admin_att|||||||||||||
SCH010|EMP005|SH001|2027-01-01||Mon,Tue,Wed,Thu,Fri||admin_att|false|10:00|10:15|true|12:00|13:00|false|15:00|15:15||||
SCH011|EMP004|SH001|2027-01-01||Mon,Tue,Wed,Thu,Fri||admin_att|false|10:00|10:15|true|12:00|13:00|false|15:00|15:15||||
SCH013|EMP001|SH001|2027-01-01||Mon,Tue,Thu,Fri|Regular weekday schedule|admin_att|false|10:00|10:15|false|12:00|13:00|false|15:00|15:15||||
SCH014|EMP001|SH001|2027-01-01||Mon,Tue,Thu,Fri|Regular weekday schedule|admin_att|false|10:00|10:15|false|12:00|13:00|false|15:00|15:15|false|false|false|
SCH015|EMP001|SH002|2026-06-01|2026-06-01||Nigh shift june|admin_att|true|10:00|10:15|true|12:00|13:00|true|15:00|15:15|true|false|true|
SCH016|EMP001|SH002|2026-07-25|2026-07-25||Night shift June|admin_att|true|10:00|10:15|true|12:00|13:00|true|15:00|15:15|true|false|true|Diamond
SCH017|EMP001|SH002|2026-06-24|2026-06-24||Night shift June|admin_att|true|10:00|10:15|true|12:00|13:00|true|15:00|15:15|true|false|true|
SCH018|EMP001|SH001|2026-07-24|2026-07-24|||admin_att|true|10:00|10:15|true|12:00|13:00|true|15:00|15:15|true|false|true|
SCH020|EMP001|SH002|2026-07-24|2026-07-24||Night shift June|admin_att|true|10:00|10:15|true|12:00|13:00|true|15:00|15:15|true|false|true|Diamond
SCH021|EMP002|SH001|2026-07-24|2026-07-24|||admin_att|true|10:00|10:15|true|12:00|13:00|true|15:00|15:15|true|false|true|
SCH022|EMP001|SH001|2026-07-26|2026-07-26|||admin_att|true|10:00|10:15|true|12:00|13:00|true|15:00|15:15|true|false|true|
