unit_id|serial_no|floor|location|type|capacity_lb|date_checked|status|problem_desc|expiration_date
UNIT002|B2-001|B2|Y2 Service Area|HFC-236fa|10|2026-08-28|good||
UNIT003|B2-002|B2|Y2 Chiller|CO2|100|2026-08-28|defective|hose disalignment|
UNIT004|B2-003|B2|Y2 Chiller|CO2|100|2026-09-03|good||2026-08-28
UNIT005|B1-001|B1|Parking Area|AFFF|50||not check||
UNIT007|B2-004|B2|Y2 Chiller|AFFF|100||not check||
UNIT008|B2-005|B2|Y2 Chiller|HFC-236fa|20||not check||
UNIT009|B2-006|B2|Y2 Chiller|HFC-236fa|10||not check||
UNIT010|B2-007|B2|Genset hallway|HCFC-123|10||not check||
UNIT011|B2-008|B2|Genset|HFC-236fa|10||not check||
UNIT012|B2-009|B2|Genset hallway|Dry Chem|10||not check||
UNIT013|B2-010|B2|Genset|Dry Chem|10||not check||
UNIT014|B2-011|B2|Genset|CO2|100||not check||
UNIT015|B2-012|B2|Genset|AFFF|50||not check||
UNIT016|B2-013|B2|Genset|Dry Chem|10||not check||
UNIT017|B2-014|B2|Genset|Dry Chem|10||not check||
UNIT018|B2-015|B2|Genset hallway|HCFC-123|10||not check||
UNIT019|B2-016|B2|Genset|Dry Chem|10||not check||
UNIT020|B2-017|B2|ENGR. Hallway|HCFC-123|10||not check||
UNIT021|B2-018|B2|CCTV Room|HFC-236fa|10||not check||
UNIT022|B2-019|B2|ENGR. Department|HFC-236fa|10||not check||
UNIT023|B2-020|B2|Diesel Fire Pump Area|CO2|100||not check||
UNIT024|B2-021|B2|Y8 Exit|HFC-236fa|10||not check||
UNIT025|B2-022|B2|Y8 Exit|HFC-236fa|10||not check||
UNIT026|B2-023|B2|Y8 AHU 26|AFFF|100||not check||
UNIT027|B2-024|B2|Y8 AHU Entrance|Dry Chem|10||not check||
UNIT028|B2-025|B2|Y8 AHU Entrance|HFC-236fa|10||not check||
UNIT029|B2-026|B2|Y8 Painting Area|HFC-236fa|10||not check||
UNIT030|B2-027|B2|Electrical Control Room|Dry Chem|10||not check||
