id|client_id|serial_no|floor|location|type|capacity_lb|problem_desc|created_at
UNIT002|CLI001|B2-001|B2|Y2 Service Area|HFC-236fa|10|Hhh|2026-08-26
UNIT003|CLI001|B2-002|B2|Y2 Chiller|CO2|100||2026-08-26
UNIT004|CLI001|B2-003|B2|Y2 Chiller|CO2|100||2026-08-26
UNIT005|CLI001|B1-001|B1|Parking Area|AFFF|50||2026-08-26
UNIT007|CLI001|B2-004|B2|Y2 Chiller|AFFF|100||2026-08-27
UNIT008|CLI001|B2-005|B2|Y2 Chiller|HFC-236fa|20||2026-08-27
UNIT009|CLI001|B2-006|B2|Y2 Chiller|HFC-236fa|10||2026-08-27
UNIT010|CLI001|B2-007|B2|Genset hallway|HCFC-123|10||2026-08-27
UNIT011|CLI001|B2-008|B2|Genset|HFC-236fa|10||2026-08-27
UNIT012|CLI001|B2-009|B2|Genset hallway|Dry Chem|10||2026-08-27
UNIT013|CLI001|B2-010|B2|Genset|Dry Chem|10||2026-08-27
UNIT014|CLI001|B2-011|B2|Genset|CO2|100||2026-08-27
UNIT015|CLI001|B2-012|B2|Genset|AFFF|50||2026-08-27
UNIT016|CLI001|B2-013|B2|Genset|Dry Chem|10||2026-08-27
UNIT017|CLI001|B2-014|B2|Genset|Dry Chem|10||2026-08-27
UNIT018|CLI001|B2-015|B2|Genset hallway|HCFC-123|10||2026-08-27
UNIT019|CLI001|B2-016|B2|Genset|Dry Chem|10||2026-08-27
UNIT020|CLI001|B2-017|B2|ENGR. Hallway|HCFC-123|10||2026-08-27
UNIT021|CLI001|B2-018|B2|CCTV Room|HFC-236fa|10||2026-08-27
UNIT022|CLI001|B2-019|B2|ENGR. Department|HFC-236fa|10||2026-08-27
UNIT023|CLI001|B2-020|B2|Diesel Fire Pump Area|CO2|100||2026-08-27
UNIT024|CLI001|B2-021|B2|Y8 Exit|HFC-236fa|10||2026-08-27
UNIT025|CLI001|B2-022|B2|Y8 Exit|HFC-236fa|10||2026-08-27
UNIT026|CLI001|B2-023|B2|Y8 AHU 26|AFFF|100||2026-08-27
UNIT027|CLI001|B2-024|B2|Y8 AHU Entrance|Dry Chem|10||2026-08-27
UNIT028|CLI001|B2-025|B2|Y8 AHU Entrance|HFC-236fa|10||2026-08-27
UNIT029|CLI001|B2-026|B2|Y8 Painting Area|HFC-236fa|10||2026-08-27
UNIT030|CLI001|B2-027|B2|Electrical Control Room|Dry Chem|10||2026-08-27
UNIT031|CLI001|B2-028|B2|Electrical Control Room|HFC-236fa|10||2026-08-27
UNIT032|CLI001|B2-029|B2|Electrical Control Room|HFC-236fa|10||2026-08-27
UNIT033|CLI001|B2-030|B2|Electrical Control Room|HFC-236fa|20||2026-08-27
UNIT034|CLI001|B2-031|B2|Genset hallway|HCFC-123|10||2026-08-27
UNIT035|CLI001|B2-032|B2|Electrical Control Room|Dry Chem|10||2026-08-27
UNIT036|CLI001|B2-033|B2|Electrical Control Room|CO2|100||2026-08-27
UNIT037|CLI001|B2-034|B2|Y2 Service Area|HFC-236fa|10||2026-08-27
UNIT038|CLI001|B2-036|B2|Y2 Service Area|Dry Chem|10||2026-08-27
UNIT039|CLI001|B2-037|B2|Y2 Exit|HFC-236fa|10||2026-08-27
UNIT040|CLI001|B2-038|B2|Y2 Chiller|Dry Chem|20||2026-08-27
UNIT041|CLI001|B2-039|B2|CCTV Room|HCFC-123|20||2026-08-27
UNIT042|CLI001|B2-040|B2|Engineering Hallway|HFC-236fa|10||2026-08-27
UNIT043|CLI001|B2-041|B2|Storage Tank Area|Dry Chem|10||2026-08-27
UNIT044|CLI001|B2-042|B2|Y2 Exit|Dry Chem|10||2026-08-27
UNIT045|CLI001|B2-043|B2|Y8 AHU 26|Dry Chem|10||2026-08-27
UNIT046|CLI001|B2-044|B2|Engr Department|HFC-236fa|10||2026-08-27
UNIT047|CLI001|B1-002|B1|Parking Area|AFFF|50||2026-08-27
UNIT048|CLI001|B1-003|B1|Parking FHC|HFC-236fa|10||2026-08-27
UNIT049|CLI001|B1-004|B1|Sleeping Quarters|HFC-236fa|10||2026-08-27
UNIT050|CLI001|B1-005|B1|Sleeping Quarters|Dry Chem|10||2026-08-27
UNIT051|CLI001|B1-006|B1|Security Office|HFC-236fa|10||2026-08-27
UNIT052|CLI001|B1-007|B1|Security Office|HFC-236fa|10||2026-08-27
UNIT053|CLI001|B1-008|B1|AHU Parking FHC|AFFF|10||2026-08-27
UNIT054|CLI001|B1-009|B1|AHU|AFFF|100||2026-08-27
UNIT055|CLI001|B1-010|B1|AHU|HFC-236fa|10||2026-08-27
UNIT056|CLI001|B1-011|B1|Y2 Service Area|HCFC-123|10||2026-08-27
UNIT057|CLI001|B1-012|B1|Y2 Service Area|HFC-236fa|10||2026-08-27
UNIT058|CLI001|B1-013|B1|Y8 Firehose Cabinet|HFC-236fa|10||2026-08-27
UNIT059|CLI001|B1-014|B1|Parking Area|CO2|10||2026-08-27
UNIT060|CLI001|B1-015|B1|Y2 Hallway|HFC-236fa|10||2026-08-27
UNIT061|CLI001|B1-016|B1|Y2 Hallway|HFC-236fa|10||2026-08-27
UNIT062|CLI001|B1-017|B1|Linen Room|HFC-236fa|10||2026-08-27
UNIT063|CLI001|B1-018|B1|Men's Locker|Dry Chem|20||2026-08-27
UNIT064|CLI001|B1-019|B1|Cafeteria|Class K|10||2026-08-27
UNIT065|CLI001|B1-020|B1|Cafeteria|Dry Chem|10||2026-08-27
UNIT066|CLI001|B1-021|B1|Butchery|Class K|10||2026-08-27
UNIT067|CLI001|B1-022|B1|Butchery|HFC-236fa|10||2026-08-27
UNIT068|CLI001|B1-023|B1|AHU23|HCFC-123|10||2026-08-27
UNIT069|CLI001|B1-024|B1|Central Kitchen|HFC-236fa|10||2026-08-27
UNIT070|CLI001|B1-025|B1|Central Kitchen|HFC-236fa|10||2026-08-27
UNIT071|CLI001|B1-026|B1|Pastry|Class K|10||2026-08-27
UNIT072|CLI001|B1-027|B1|Y8 Hallway|HFC-236fa|10||2026-08-27
UNIT073|CLI001|B1-028|B1|Y8 Hallway|HFC-236fa|10||2026-08-27
UNIT074|CLI001|B1-029|B1|Receiving Room|HFC-236fa|10||2026-08-27
UNIT075|CLI001|B1-030|B1|Loading Dock Area|HFC-236fa|10||2026-08-27
UNIT076|CLI001|B1-031|B1|Steward|HFC-236fa|10||2026-08-27
UNIT077|CLI001|B1-032|B1|Steward|HCFC-123|10||2026-08-27
UNIT078|CLI001|B1-033|B1|Chef Office|HFC-236fa|10||2026-08-27
UNIT079|CLI001|B1-034|B1|PABX Office|HFC-236fa|10||2026-08-27
UNIT080|CLI001|B1-035|B1|PABX Office|Dry Chem|10||2026-08-27
UNIT081|CLI001|B1-036|B1|Pastry|HCFC-123|10||2026-08-27
UNIT082|CLI001|B1-037|B1|Pastry|Class K|10||2026-08-27
